musteri_id,isim,cinsiyet,yas,sehir,harcama_miktari,tarih,ürün_kodu,ürün_adi,kategori,fiyat,adet,toplam_satis
4885,Sahil,Erkek,52,Adana,1033.66,2024-07-10,P053,Bilgisayar,Kozmetik,638.92,10,6389.2
7165,Kamar,Kadın,61,İzmir,868.58,2023-07-06,P002,Defter,Ev Aletleri,73.87,15,1108.0500000000002
7165,Kamar,Kadın,61,İzmir,868.58,2024-02-17,P010,Su Şişesi,Mutfak Ürünleri,1345.42,16,21526.72
9016,Fetullah,Erkek,28,Ankara,4077.46,2023-09-27,P013,Defter,Giyim,900.45,16,14407.2
1910,Sehel,Erkek,65,İzmir,4328.93,2024-02-11,P060,Kalem,Mutfak Ürünleri,368.6,16,5897.6
7091,Açıkel,Kadın,44,Bursa,4562.44,2023-06-12,P071,Çanta,Ev Aletleri,1372.86,4,5491.44
3749,Mükrüme,Kadın,30,Antalya,1568.18,2024-02-10,P054,Mouse,Giyim,403.75,13,5248.75
9964,Seçme,Kadın,68,İzmir,206.73,2024-03-30,P097,Fırın,Mutfak Ürünleri,172.36,8,1378.88
1223,Vaysal,Erkek,58,Antalya,2458.08,2024-04-14,P033,Kalem,Kırtasiye,18.35,5,91.75
2498,Uygun,Erkek,50,Konya,540.88,2024-11-03,P071,Bilgisayar,Mutfak Ürünleri,1237.11,5,6185.549999999999
2498,Uygun,Erkek,50,Konya,540.88,2024-02-18,P044,Mouse,Giyim,806.85,17,13716.45
8348,Yilmaz,Kadın,37,Bursa,2185.98,2023-12-11,P093,Kalem,Ev Aletleri,675.94,11,7435.34
5352,Bidayet,Erkek,48,Adana,3461.05,2024-09-17,P072,Fırın,Ev Aletleri,922.93,1,922.93
5352,Bidayet,Erkek,48,Adana,3461.05,2024-07-08,P056,Su Şişesi,Giyim,1079.17,9,9712.53
6491,Mishat,Erkek,27,Antalya,523.18,2024-04-24,P010,Kulaklık,Mutfak Ürünleri,1122.45,18,20204.1
6491,Mishat,Erkek,27,Antalya,523.18,2023-05-07,P026,Klima,Ev Aletleri,133.11,4,532.44
6491,Mishat,Erkek,27,Antalya,523.18,2023-01-26,P090,Fırın,Giyim,1159.32,7,8115.24
6473,Şükri,Kadın,18,Gaziantep,1042.82,2024-02-09,P025,Mouse,Mutfak Ürünleri,46.51,13,604.63
6473,Şükri,Kadın,18,Gaziantep,1042.82,2024-03-26,P092,Kalem,Elektronik,759.99,7,5319.93
6473,Şükri,Kadın,18,Gaziantep,1042.82,2023-07-20,P038,Su Şişesi,Elektronik,749.49,16,11991.84
6603,Havali,Erkek,38,Ankara,4008.25,2024-07-06,P075,Kalem,Elektronik,386.32,8,3090.56
8649,Karakucak,Erkek,47,Antalya,626.64,2023-11-15,P060,Telefon,Giyim,234.42,6,1406.52
8649,Karakucak,Erkek,47,Antalya,626.64,2023-02-12,P008,Mouse,Elektronik,417.83,17,7103.11
6783,Kibar,Erkek,40,Bursa,4737.39,2023-09-11,P044,Çanta,Kozmetik,1330.94,17,22625.98
3304,Gümüştekin,Kadın,62,Gaziantep,4911.59,2023-01-18,P092,Kalem,Kırtasiye,1400.62,13,18208.06
3304,Gümüştekin,Kadın,62,Gaziantep,4911.59,2023-09-04,P054,Çanta,Mutfak Ürünleri,633.25,12,7599.0
8900,Hacile,Kadın,60,Antalya,1684.71,2023-07-16,P051,Kulaklık,Kozmetik,1364.87,6,8189.219999999999
8900,Hacile,Kadın,60,Antalya,1684.71,2023-01-14,P011,Fırın,Kırtasiye,248.75,9,2238.75
8900,Hacile,Kadın,60,Antalya,1684.71,2023-10-03,P083,Fırın,Ev Aletleri,922.77,16,14764.32
2129,Ozansü,Kadın,26,Antalya,4267.73,2023-04-11,P087,Mouse,Giyim,201.25,19,3823.75
2129,Ozansü,Kadın,26,Antalya,4267.73,2024-05-03,P096,Su Şişesi,Giyim,769.84,11,8468.24
2129,Ozansü,Kadın,26,Antalya,4267.73,2024-07-04,P008,Bilgisayar,Giyim,528.72,12,6344.64
3714,Sarya,Erkek,21,İzmir,3432.99,2022-11-29,P100,Su Şişesi,Ev Aletleri,722.39,17,12280.63
6732,Gülüs,Kadın,53,İstanbul,1787.68,2024-05-01,P041,Defter,Ev Aletleri,682.11,9,6138.99
1493,Torhan,Kadın,42,Adana,4477.94,2023-02-24,P086,Defter,Elektronik,117.08,5,585.4
3974,Telim,Erkek,63,Antalya,2422.58,2024-05-12,P036,Defter,Mutfak Ürünleri,1406.08,5,7030.4
1449,Aydınbey,Kadın,63,Konya,4076.71,2022-12-30,P081,Kalem,Elektronik,66.83,12,801.96
5019,Hiçsönmez,Kadın,69,Antalya,733.02,2022-12-29,P040,Su Şişesi,Mutfak Ürünleri,86.39,13,1123.07
9376,Karakucak,Kadın,51,Adana,2658.55,2023-12-30,P006,Klima,Giyim,877.87,7,6145.09
9376,Karakucak,Kadın,51,Adana,2658.55,2023-08-15,P041,Fırın,Giyim,744.98,14,10429.72
4071,Sevla,Erkek,18,Gaziantep,1757.66,2023-02-05,P002,Bilgisayar,Ev Aletleri,224.7,6,1348.1999999999998
2309,Esmanperi,Kadın,42,Bursa,1098.72,2024-10-30,P059,Kulaklık,Kırtasiye,69.79,12,837.48
2309,Esmanperi,Kadın,42,Bursa,1098.72,2023-04-13,P042,Fırın,Giyim,244.32,1,244.32
1009,İnançlı,Erkek,67,Konya,4156.24,2024-01-17,P061,Telefon,Kozmetik,1101.89,8,8815.12
1009,İnançlı,Erkek,67,Konya,4156.24,2024-05-19,P003,Çanta,Giyim,1405.13,2,2810.26
9792,Gülözge,Erkek,57,Konya,4371.78,2023-04-01,P047,Klima,Ev Aletleri,603.34,2,1206.68
6334,İlteriş,Kadın,46,Bursa,2664.42,2023-08-24,P096,Bilgisayar,Mutfak Ürünleri,507.79,6,3046.74
1714,Habibe,Kadın,46,Antalya,1832.18,2023-12-27,P012,Fırın,Mutfak Ürünleri,937.65,5,4688.25
1714,Habibe,Kadın,46,Antalya,1832.18,2023-02-28,P028,Fırın,Elektronik,855.74,17,14547.58
5825,Delil,Kadın,22,İstanbul,1979.17,2024-10-04,P068,Telefon,Ev Aletleri,1060.56,5,5302.799999999999
5979,Aytuna,Erkek,62,Ankara,2343.34,2024-02-08,P065,Bilgisayar,Elektronik,863.33,8,6906.64
5979,Aytuna,Erkek,62,Ankara,2343.34,2022-11-30,P048,Su Şişesi,Elektronik,905.06,2,1810.12
1328,Veis,Erkek,25,Gaziantep,1060.99,2024-02-24,P043,Su Şişesi,Giyim,828.43,19,15740.169999999998
1328,Veis,Erkek,25,Gaziantep,1060.99,2024-07-18,P026,Klima,Mutfak Ürünleri,101.32,3,303.96
4028,Ürper,Kadın,61,İstanbul,1311.9,2024-06-24,P031,Kalem,Giyim,1299.59,12,15595.079999999998
1756,Berki,Kadın,44,Ankara,2751.49,2023-12-22,P093,Kulaklık,Kozmetik,434.92,4,1739.68
2619,Nezize,Erkek,43,Antalya,431.77,2024-03-27,P049,Kalem,Kırtasiye,280.37,19,5327.03
9280,Tenvir,Kadın,65,Antalya,4338.68,2024-07-23,P028,Fırın,Mutfak Ürünleri,43.89,16,702.24
3930,Erksoy,Erkek,25,İstanbul,845.69,2023-02-06,P006,Klima,Ev Aletleri,1382.93,10,13829.3
6513,Verim,Erkek,44,Adana,4818.7,2024-06-06,P064,Kulaklık,Mutfak Ürünleri,221.32,14,3098.48
4478,Ildız,Erkek,37,Gaziantep,2392.2,2024-09-24,P056,Çanta,Kozmetik,822.64,13,10694.32
4478,Ildız,Erkek,37,Gaziantep,2392.2,2024-08-01,P065,Telefon,Kırtasiye,854.81,6,5128.86
4478,Ildız,Erkek,37,Gaziantep,2392.2,2023-07-27,P089,Fırın,Ev Aletleri,342.46,9,3082.14
7598,Samurtay,Erkek,56,İstanbul,3823.58,2022-11-07,P033,Telefon,Elektronik,1061.75,1,1061.75
3455,Uğur,Erkek,62,Antalya,2559.4,2024-04-26,P067,Kulaklık,Ev Aletleri,1056.9,16,16910.4
2621,Muhip,Kadın,18,Konya,1246.65,2023-05-27,P052,Kulaklık,Kozmetik,459.47,8,3675.76
2941,Resulcan,Kadın,59,Ankara,4795.57,2024-08-21,P077,Klima,Kozmetik,767.97,9,6911.7300000000005
9123,Dilsitan,Kadın,51,Gaziantep,3167.19,2023-12-22,P044,Klima,Ev Aletleri,241.26,13,3136.38
9123,Dilsitan,Kadın,51,Gaziantep,3167.19,2023-07-13,P099,Mouse,Ev Aletleri,6.04,9,54.36
8327,Erensoy,Kadın,20,Konya,1271.15,2023-12-24,P076,Su Şişesi,Elektronik,982.46,6,5894.76
9256,İncifir,Erkek,69,İzmir,4914.88,2024-05-18,P063,Kulaklık,Ev Aletleri,1474.86,14,20648.04
9256,İncifir,Erkek,69,İzmir,4914.88,2023-11-21,P010,Defter,Giyim,264.57,19,5026.83
4025,Aclan,Erkek,22,Antalya,1192.09,2024-05-17,P055,Çanta,Elektronik,1183.09,4,4732.36
3726,Nesip,Kadın,29,Gaziantep,3618.02,2022-11-20,P078,Çanta,Mutfak Ürünleri,1473.21,1,1473.21
3726,Nesip,Kadın,29,Gaziantep,3618.02,2024-04-27,P048,Kulaklık,Giyim,1445.63,12,17347.56
6818,Sejda,Kadın,53,Ankara,877.08,2024-09-23,P002,Kalem,Giyim,1284.34,1,1284.34
6818,Sejda,Kadın,53,Ankara,877.08,2022-12-14,P074,Mouse,Elektronik,328.13,16,5250.08
9315,Pekkan,Erkek,38,Gaziantep,2536.29,2023-09-24,P078,Telefon,Mutfak Ürünleri,1295.56,17,22024.52
9315,Pekkan,Erkek,38,Gaziantep,2536.29,2024-07-16,P017,Klima,Giyim,666.19,7,4663.33
2813,Asiman,Erkek,61,Bursa,2594.31,2024-04-01,P020,Su Şişesi,Giyim,1254.6,18,22582.8
4187,Serol,Kadın,34,Gaziantep,2176.18,2024-10-09,P005,Fırın,Mutfak Ürünleri,793.09,16,12689.44
9450,Uludağ,Kadın,51,İzmir,1207.35,2023-01-01,P099,Mouse,Mutfak Ürünleri,1024.22,16,16387.52
4504,Olca,Kadın,33,Konya,1281.29,2023-05-16,P038,Klima,Kırtasiye,288.9,14,4044.6
6744,Cezayir,Kadın,69,İzmir,3150.53,2023-07-27,P005,Telefon,Mutfak Ürünleri,1307.04,15,19605.6
3791,Zülbiye,Erkek,19,Konya,1923.97,2024-08-18,P047,Kulaklık,Ev Aletleri,52.03,2,104.06
6855,Özay,Kadın,18,Antalya,2355.21,2022-12-12,P089,Su Şişesi,Giyim,361.48,4,1445.92
6855,Özay,Kadın,18,Antalya,2355.21,2023-08-20,P013,Telefon,Kırtasiye,195.27,18,3514.86
6855,Özay,Kadın,18,Antalya,2355.21,2023-05-25,P037,Su Şişesi,Giyim,882.05,10,8820.5
2814,Necva,Erkek,43,Gaziantep,1451.06,2024-10-12,P067,Klima,Giyim,670.62,18,12071.16
2814,Necva,Erkek,43,Gaziantep,1451.06,2024-01-16,P098,Fırın,Kırtasiye,214.55,19,4076.45
4295,Ecegül,Erkek,35,Gaziantep,2886.07,2023-10-18,P039,Defter,Elektronik,1326.09,9,11934.81
4295,Ecegül,Erkek,35,Gaziantep,2886.07,2024-09-23,P079,Çanta,Kozmetik,375.33,13,4879.29
3888,Ummahani,Kadın,66,İstanbul,2869.24,2023-09-05,P008,Çanta,Mutfak Ürünleri,995.86,9,8962.74
4534,Atnan,Kadın,36,Ankara,2736.05,2024-06-09,P029,Kulaklık,Elektronik,736.4,19,13991.6
4534,Atnan,Kadın,36,Ankara,2736.05,2023-05-09,P015,Kulaklık,Kozmetik,8.49,5,42.45
8979,Kocabaş,Erkek,54,Ankara,1055.16,2023-10-11,P072,Su Şişesi,Kozmetik,957.64,9,8618.76
7982,Yazganalp,Kadın,57,İstanbul,162.17,2023-11-19,P007,Telefon,Kozmetik,860.26,13,11183.38
1269,Şerafeddin,Erkek,47,Adana,2509.03,2024-08-26,P004,Çanta,Kırtasiye,450.36,12,5404.32
3237,Gökbudun,Kadın,24,İzmir,1421.26,2024-08-16,P008,Klima,Kozmetik,804.54,6,4827.24
1231,Ferat,Kadın,58,Adana,1701.25,2023-12-08,P061,Su Şişesi,Elektronik,243.69,13,3167.97
1231,Ferat,Kadın,58,Adana,1701.25,2023-07-22,P079,Çanta,Kozmetik,1374.11,12,16489.32
4231,İzgü,Erkek,31,İzmir,1380.56,2023-05-07,P028,Çanta,Mutfak Ürünleri,1323.07,17,22492.19
8242,Sevindik,Kadın,24,İstanbul,2332.64,2022-12-15,P041,Defter,Ev Aletleri,822.9,14,11520.6
8242,Sevindik,Kadın,24,İstanbul,2332.64,2023-07-10,P075,Su Şişesi,Mutfak Ürünleri,1249.67,16,19994.72
7144,Öngen,Kadın,62,Antalya,1552.92,2023-02-02,P060,Fırın,Elektronik,1191.2,12,14294.4
7144,Öngen,Kadın,62,Antalya,1552.92,2024-03-28,P055,Klima,Elektronik,881.08,17,14978.36
1464,Mükrüme,Kadın,53,Antalya,2023.17,2023-11-29,P056,Defter,Ev Aletleri,1082.09,7,7574.629999999999
2986,Almus,Erkek,25,İstanbul,2493.62,2023-11-03,P075,Çanta,Ev Aletleri,791.31,8,6330.48
7289,Nefaret,Kadın,22,Antalya,2087.18,2024-06-26,P034,Bilgisayar,Kırtasiye,1394.74,18,25105.32
7289,Nefaret,Kadın,22,Antalya,2087.18,2023-07-14,P032,Telefon,Mutfak Ürünleri,276.83,4,1107.32
7289,Nefaret,Kadın,22,Antalya,2087.18,2023-12-22,P090,Çanta,Giyim,447.33,6,2683.98
9768,Dalkılıç,Kadın,57,Adana,2406.19,2024-05-03,P029,Su Şişesi,Kozmetik,146.7,10,1467.0
2676,Aydınbey,Kadın,54,Adana,3309.09,2023-07-14,P034,Kalem,Kırtasiye,239.35,6,1436.1
1087,Cantez,Kadın,43,İstanbul,4122.04,2023-08-07,P078,Mouse,Kırtasiye,1020.27,2,2040.54
1087,Cantez,Kadın,43,İstanbul,4122.04,2024-06-19,P031,Su Şişesi,Elektronik,1373.52,16,21976.32
1327,Beyler,Kadın,28,İzmir,1554.63,2024-07-21,P100,Klima,Kırtasiye,828.02,7,5796.139999999999
7993,Milay,Kadın,64,Adana,110.16,2024-03-05,P042,Kulaklık,Giyim,10.04,14,140.56
5122,Sümeyye,Kadın,59,İzmir,4501.99,2023-05-01,P056,Klima,Giyim,807.62,16,12921.92
3162,Mengüç,Kadın,37,İstanbul,3434.79,2024-10-24,P029,Mouse,Elektronik,769.79,9,6928.11
8806,Baytal,Erkek,53,İstanbul,879.52,2024-10-01,P033,Telefon,Ev Aletleri,540.76,12,6489.12
8806,Baytal,Erkek,53,İstanbul,879.52,2023-05-09,P035,Su Şişesi,Giyim,97.82,9,880.3799999999999
8055,Yavuz,Kadın,63,Konya,2952.47,2023-03-04,P053,Telefon,Giyim,1150.42,5,5752.1
6267,Çisem,Kadın,21,Antalya,2227.9,2024-01-27,P093,Kulaklık,Ev Aletleri,421.71,4,1686.84
3552,Baltaş,Erkek,55,Antalya,2952.26,2024-02-10,P013,Su Şişesi,Mutfak Ürünleri,155.43,19,2953.17
3552,Baltaş,Erkek,55,Antalya,2952.26,2024-02-01,P034,Mouse,Mutfak Ürünleri,1175.25,17,19979.25
5543,Menişan,Kadın,27,Antalya,4817.74,2024-04-03,P059,Fırın,Mutfak Ürünleri,1015.32,8,8122.56
8264,Abdülsamed,Kadın,42,Bursa,4032.98,2024-02-13,P053,Kalem,Mutfak Ürünleri,37.11,19,705.09
8264,Abdülsamed,Kadın,42,Bursa,4032.98,2023-06-12,P049,Su Şişesi,Kırtasiye,955.25,2,1910.5
8264,Abdülsamed,Kadın,42,Bursa,4032.98,2024-09-08,P099,Telefon,Elektronik,367.3,4,1469.2
8264,Abdülsamed,Kadın,42,Bursa,4032.98,2024-03-08,P075,Kalem,Elektronik,1332.63,10,13326.3
3583,Merim,Erkek,44,Ankara,4462.61,2023-04-01,P016,Telefon,Giyim,1071.72,6,6430.32
4171,Mahigül,Erkek,27,İzmir,3948.18,2023-02-08,P043,Kalem,Ev Aletleri,1309.54,7,9166.78
6683,Yahşi,Erkek,53,Gaziantep,801.63,2024-03-17,P080,Kulaklık,Mutfak Ürünleri,304.34,3,913.02
7626,Aysuna,Erkek,51,Adana,2412.62,2024-03-26,P011,Su Şişesi,Elektronik,999.55,11,10995.05
6533,Gilman,Erkek,64,Gaziantep,2103.81,2023-09-29,P023,Kulaklık,Elektronik,537.13,11,5908.43
6533,Gilman,Erkek,64,Gaziantep,2103.81,2023-11-17,P020,Klima,Ev Aletleri,1356.82,11,14925.02
8292,Ünübol,Erkek,62,Adana,3614.98,2024-03-03,P037,Telefon,Giyim,1367.21,2,2734.42
8292,Ünübol,Erkek,62,Adana,3614.98,2023-09-19,P048,Fırın,Kozmetik,1096.4,3,3289.2000000000003
8895,Basriye,Erkek,54,Bursa,2113.54,2024-04-20,P068,Klima,Kırtasiye,1208.04,19,22952.76
3769,Erbay,Kadın,37,Bursa,1803.77,2023-05-09,P027,Su Şişesi,Giyim,534.7,5,2673.5
3769,Erbay,Kadın,37,Bursa,1803.77,2024-06-23,P050,Çanta,Mutfak Ürünleri,831.62,1,831.62
2187,Âdem,Erkek,62,İzmir,1776.53,2023-09-04,P032,Klima,Elektronik,616.74,11,6784.14
2187,Âdem,Erkek,62,İzmir,1776.53,2024-05-17,P032,Klima,Giyim,647.04,18,11646.72
2365,Beray,Erkek,68,Bursa,4806.53,2023-08-26,P083,Çanta,Mutfak Ürünleri,1111.76,13,14452.88
2365,Beray,Erkek,68,Bursa,4806.53,2024-03-31,P035,Kulaklık,Giyim,1133.79,15,17006.85
4787,Canur,Kadın,22,İstanbul,2993.8,2024-02-18,P069,Mouse,Kozmetik,1234.59,13,16049.669999999998
4429,Salurbay,Kadın,41,Gaziantep,2073.86,2023-02-16,P081,Kalem,Elektronik,1202.39,13,15631.070000000002
4429,Salurbay,Kadın,41,Gaziantep,2073.86,2024-06-16,P050,Kalem,Kırtasiye,908.45,13,11809.85
8363,Ferihan,Erkek,63,Bursa,4800.03,2024-08-11,P045,Kalem,Mutfak Ürünleri,167.62,16,2681.92
7245,Kete,Erkek,28,Gaziantep,3831.02,2024-04-21,P057,Kalem,Kırtasiye,200.71,14,2809.94
6498,İlteriş,Kadın,65,Gaziantep,135.77,2024-04-05,P038,Kalem,Kırtasiye,409.96,1,409.96
7851,Benol,Erkek,53,Antalya,431.45,2023-08-31,P045,Klima,Giyim,440.95,4,1763.8
8042,Ticen,Kadın,48,Antalya,1643.1,2023-02-24,P073,Kalem,Kırtasiye,690.1,3,2070.3
8924,Mefharet,Erkek,65,Gaziantep,3543.87,2024-06-27,P097,Telefon,Mutfak Ürünleri,501.96,6,3011.76
9213,Refik,Kadın,51,İstanbul,3657.6,2023-08-22,P051,Fırın,Elektronik,84.06,15,1260.9
6743,Adila,Erkek,42,İstanbul,1220.4,2022-11-19,P042,Kulaklık,Giyim,264.11,8,2112.88
6519,Yurttaş,Kadın,29,Gaziantep,764.3,2024-05-12,P095,Telefon,Elektronik,1172.62,17,19934.54
8810,Tan,Kadın,27,İzmir,1025.04,2023-01-31,P086,Mouse,Elektronik,939.08,9,8451.720000000001
8810,Tan,Kadın,27,İzmir,1025.04,2024-02-06,P048,Telefon,Giyim,815.37,9,7338.33
1886,Şemsinisa,Erkek,55,İstanbul,4677.17,2024-06-15,P073,Su Şişesi,Ev Aletleri,63.8,12,765.5999999999999
8680,Tagangül,Kadın,64,Konya,271.17,2024-03-25,P008,Kulaklık,Kozmetik,312.22,6,1873.32
8680,Tagangül,Kadın,64,Konya,271.17,2023-01-26,P012,Çanta,Elektronik,1305.62,16,20889.92
7253,Alparslan,Erkek,62,Konya,507.28,2024-06-08,P045,Çanta,Ev Aletleri,991.0,16,15856.0
7253,Alparslan,Erkek,62,Konya,507.28,2022-11-27,P084,Bilgisayar,Kırtasiye,947.38,2,1894.76
6706,Tezcan,Erkek,65,Gaziantep,2029.45,2023-10-23,P091,Klima,Elektronik,676.57,2,1353.14
6706,Tezcan,Erkek,65,Gaziantep,2029.45,2023-08-22,P002,Su Şişesi,Elektronik,687.6,15,10314.0
2464,Alabezek,Kadın,48,İzmir,2427.64,2023-11-02,P010,Bilgisayar,Giyim,505.93,17,8600.81
2464,Alabezek,Kadın,48,İzmir,2427.64,2022-11-09,P045,Çanta,Kozmetik,1016.07,9,9144.63
2464,Alabezek,Kadın,48,İzmir,2427.64,2023-08-10,P067,Defter,Kırtasiye,137.1,12,1645.1999999999998
2385,Vecide,Kadın,65,İstanbul,350.64,2023-01-06,P024,Su Şişesi,Ev Aletleri,121.3,13,1576.9
5454,Karabaş,Erkek,40,Gaziantep,3072.86,2023-09-14,P059,Su Şişesi,Giyim,874.44,14,12242.16
3431,Goncafer,Kadın,28,Ankara,1837.1,2023-07-01,P017,Bilgisayar,Kozmetik,1034.7,3,3104.1000000000004
4109,Şamiha,Kadın,54,Antalya,1216.39,2023-09-19,P071,Kalem,Mutfak Ürünleri,294.09,4,1176.36
4109,Şamiha,Kadın,54,Antalya,1216.39,2023-02-05,P010,Mouse,Ev Aletleri,800.03,6,4800.18
8463,Oluş,Kadın,61,İzmir,4976.79,2022-11-13,P024,Defter,Ev Aletleri,270.85,8,2166.8
8463,Oluş,Kadın,61,İzmir,4976.79,2024-04-06,P026,Telefon,Mutfak Ürünleri,1360.13,7,9520.91
4172,İldem,Erkek,55,Konya,3919.72,2022-11-24,P001,Defter,Giyim,106.5,15,1597.5
2004,Nasiba,Erkek,21,Adana,598.83,2024-04-14,P091,Kulaklık,Ev Aletleri,841.8,3,2525.4
1902,Atiyye,Kadın,57,Antalya,2204.18,2023-06-12,P049,Fırın,Mutfak Ürünleri,637.08,13,8282.04
1167,Us,Erkek,44,Antalya,1125.66,2024-03-23,P047,Su Şişesi,Kırtasiye,1119.64,11,12316.04
2753,Abdülcemal,Kadın,33,Adana,1867.79,2023-12-05,P077,Fırın,Kırtasiye,849.93,19,16148.669999999998
2753,Abdülcemal,Kadın,33,Adana,1867.79,2023-03-22,P063,Klima,Kozmetik,130.21,9,1171.89
9692,Ümmahan,Erkek,61,İstanbul,3510.18,2022-11-15,P031,Kalem,Kozmetik,9.46,13,122.98000000000002
9692,Ümmahan,Erkek,61,İstanbul,3510.18,2023-10-21,P039,Kalem,Elektronik,1052.23,12,12626.76
9692,Ümmahan,Erkek,61,İstanbul,3510.18,2024-03-19,P077,Mouse,Elektronik,1435.73,2,2871.46
1592,Şirivan,Erkek,50,Bursa,3489.29,2023-09-28,P020,Kalem,Giyim,916.33,13,11912.29
7665,Gökçe,Kadın,35,Adana,4936.29,2023-12-09,P046,Klima,Ev Aletleri,1048.53,9,9436.77
2147,Lezize,Erkek,29,Konya,1112.09,2024-04-16,P013,Çanta,Elektronik,160.54,18,2889.72
6806,Haliye,Erkek,55,İzmir,2776.8,2023-04-18,P008,Kalem,Kırtasiye,722.29,12,8667.48
8170,Özlem,Erkek,56,İstanbul,4764.88,2024-01-09,P025,Çanta,Kırtasiye,1125.65,8,9005.2
9412,Subutiye,Erkek,52,Konya,3089.71,2022-12-03,P060,Çanta,Elektronik,444.86,9,4003.74
2069,Çakar,Kadın,23,Gaziantep,3751.03,2023-08-04,P091,Çanta,Kırtasiye,423.32,12,5079.84
2069,Çakar,Kadın,23,Gaziantep,3751.03,2024-05-09,P073,Kalem,Kozmetik,188.76,14,2642.64
2069,Çakar,Kadın,23,Gaziantep,3751.03,2024-03-02,P067,Su Şişesi,Kozmetik,895.23,13,11637.99
3453,Kefser,Kadın,23,İstanbul,4512.99,2024-04-02,P035,Telefon,Ev Aletleri,774.89,4,3099.56
3453,Kefser,Kadın,23,İstanbul,4512.99,2024-10-30,P066,Mouse,Elektronik,94.93,19,1803.67
8274,Özüdoğru,Kadın,59,Ankara,3429.55,2023-02-13,P065,Telefon,Kırtasiye,57.54,15,863.1
4620,Mürit,Erkek,55,Antalya,1379.43,2024-05-24,P024,Kalem,Kırtasiye,769.09,18,13843.62
6463,Aygönenç,Erkek,47,İstanbul,398.35,2024-03-05,P095,Mouse,Elektronik,1063.27,13,13822.51
4560,Tuğçe,Erkek,34,Gaziantep,1219.84,2023-12-21,P085,Defter,Elektronik,367.04,11,4037.44
4560,Tuğçe,Erkek,34,Gaziantep,1219.84,2023-06-26,P018,Kulaklık,Ev Aletleri,708.16,3,2124.48
